textid,anger,disgust,fear,joy,sad,surprise
1,0.0570308324683,0.0942714294271,0.0956408391298,0.164246004018,0.127077691474,0.461733203483
2,0.0838778261858,0.070456062184,0.190566737635,0.230255591005,0.181618196672,0.243225586318
3,0.0634065087636,0.0387350102498,0.125875508368,0.316655753697,0.191598278094,0.263728940828
4,0.0904576133463,0.0763177033891,0.137835347505,0.266889000503,0.165260238578,0.263240096679
5,0.0937336784765,0.0612363409286,0.0957519148027,0.224592754291,0.18684367095,0.337841640551
6,0.0997077263346,0.0780602327279,0.238722723531,0.0594819665784,0.349066701913,0.174960648915
7,6.24037941754e-10,4.27741214081e-10,0.0926000006122,0.444399998572,1.62068552179e-09,0.462999998144
8,0.078414129284,0.0324359156112,0.321691232841,0.120101535129,0.299505099189,0.147852087945
9,0.00913710336611,0.127383598159,0.0115512147586,0.141488501984,0.0164631461464,0.693976435586
10,0.0823261978966,0.103532047876,0.215593315717,0.195057711831,0.204691204861,0.198799521818
11,0.0952248931398,0.0385889722674,0.174809767688,0.347303366322,0.118714472843,0.225358527741
12,0.136908005607,0.0430637893117,0.192511994308,0.238688255526,0.13071958182,0.258108373428
13,0.156799472517,0.0687554088754,0.221669530311,0.222646529683,0.123569109611,0.206559949003
14,0.132265956838,0.0576405216875,0.130771797955,0.188136320719,0.215463102386,0.275722300413
15,0.162403476169,0.155959136332,0.349423349456,0.0874962376679,0.168285236794,0.0764325635814
16,0.152183977863,0.105677009046,0.438349182263,0.0756117006582,0.14160002799,0.0865781021803
17,0.0727879995883,0.0549436592201,0.13963826946,0.369582136445,0.136770873125,0.226277062162
18,0.121122022218,0.0311477922988,0.171216437266,0.148891774542,0.218425191112,0.309196782563
19,0.0737253154738,0.0383058639102,0.153536474082,0.274743493227,0.178535419487,0.28115343382
20,0.0833434615337,0.0679233435851,0.194688746553,0.210648310458,0.212335404398,0.231060733473
21,0.0461640775673,0.0230053901724,0.0698000596985,0.570811659658,0.0805181260231,0.209700686881
22,0.0852302865786,0.065479780149,0.0670286111016,0.306048124702,0.125403990946,0.350809206523
23,0.0729972554272,0.0410646210527,0.149796657433,0.203783425245,0.26610549688,0.266252543963
24,0.117611761176,2.57981367079e-12,0.0588058805931,1.14148648741e-11,0.117611761181,0.705970597035
25,0.0823043797363,0.0537814364702,0.138211930605,0.291778613782,0.18912330405,0.244800335356
26,0.0781669437465,0.0514508359235,0.148815725329,0.256148571844,0.224077512701,0.241340410456
27,0.0642394187337,0.0507514742357,0.130756228943,0.384864933545,0.175566427211,0.193821517332
28,0.0894865814134,0.0603276519782,0.179503567997,0.214147294612,0.227910278654,0.228624625345
29,0.103406580496,0.0638512559303,0.171942077187,0.246804453871,0.190189002465,0.22380663005
30,0.0344684573184,0.0371037988359,0.146679166941,0.298987887551,0.133303959286,0.349456730067
31,0.0781225254018,0.0526609487834,0.114067024766,0.380349918402,0.151848627094,0.222950955552
32,0.0828953827275,0.0699055916356,0.184313137664,0.24778454856,0.202228531536,0.212872807877
33,0.0702162450674,0.0553350461359,0.140121189737,0.292253531322,0.200164389113,0.241909598624
34,0.110192594454,0.0392666526959,0.273089916952,0.252895553076,0.135615363915,0.188939918907
35,0.0268058247856,0.0200963570107,0.0521486380201,0.532840184253,0.0670500201854,0.301058975745
36,0.12808251595,0.0297083457706,0.0905390836979,0.304309370514,0.162655899956,0.284704784112
37,0.10181454079,0.0452796480047,0.235382008095,0.117717974982,0.208621399715,0.291184428412
38,0.048997912356,0.0602537508013,0.210567204957,0.236925943102,0.0711635788497,0.372091609934
39,0.124087109454,0.0745610367966,0.146791917715,0.240925773297,0.16990911822,0.243725044519
40,0.180295346684,0.173240541669,0.326607310316,0.0671929415393,0.188590464514,0.064073395278
41,0.0564651680017,0.0357540582623,0.0970505417871,0.234141054087,0.141961533484,0.434627644378
42,0.104556697482,0.0499403655758,0.303331411655,0.28162665882,0.13786867779,0.122676188677
43,0.0389697923709,0.0328227923053,0.0847039655343,0.401397344903,0.120050268409,0.322055836478
44,0.217999990138,0.274899983059,0.132700003488,2.32537271734e-08,0.222699997941,0.15170000212
45,0.0817708111573,0.0519610726123,0.154245411677,0.260855416667,0.221819810222,0.229347477664
46,0.0664025949456,0.0527862581509,0.140537626949,0.31640056184,0.17735967263,0.246513285485
47,0.0483869822907,0.149941566186,0.110978343904,0.23085129449,0.130204490847,0.329637322283
48,0.0742213698326,0.0432992262507,0.121091839364,0.387569606993,0.154839149186,0.218978808373
49,0.103179655772,0.081925997184,0.162598534056,0.158874689,0.227965913531,0.265455210457
50,0.100414545622,0.0601404297666,0.17397388441,0.261997067493,0.192712891171,0.210761181538
51,0.15968850673,0.0787017965501,0.139326674016,0.262003248867,0.144269578061,0.216010195776
52,0.105220706224,0.00500914337736,0.201410504955,0.0733867599725,0.403681771167,0.211291114304
53,3.33944613013e-12,0.188218821833,4.52319721012e-12,0.152915291534,5.64795771594e-12,0.658865886619
54,0.0835469724462,0.0364874715977,0.195127033518,0.348976408613,0.113730835881,0.222131277944
55,0.0839559522976,0.0500771892924,0.153168068394,0.271846695273,0.220062714409,0.220889380335
56,0.0919651806716,0.115957936581,0.0734448056993,0.182278241863,0.183074996338,0.353278838848
57,0.108383003327,0.0813810235621,0.214992317732,0.153252896793,0.229569351082,0.212421407504
58,0.0921454789125,0.0547159503555,0.144730647671,0.264511630544,0.186129029114,0.257767263404
59,0.0130287276292,0.00756875076726,0.316460150676,0.12523190503,0.0568006997516,0.480909766146
60,0.114089116269,0.0819783417522,0.144698822908,0.184059671861,0.170760653519,0.304413393691
61,0.0980078434558,0.106401441031,0.115004234451,0.298014040353,0.112517204295,0.270055236415
62,0.0669126541876,0.0472816443074,0.202627096915,0.269790523981,0.183680288013,0.229707792596
63,0.0731273181833,0.0517145119141,0.11988657792,0.342006767481,0.167419196183,0.245845628319
64,0.115204317608,0.0809745416981,0.305044722615,0.164694942374,0.111957761615,0.22212371409
65,0.125672374698,0.0683442198867,0.157614500563,0.147282688974,0.238494402217,0.262591813663
66,0.0730985427934,0.0346495371553,0.239358375576,0.324826745955,0.151403163205,0.176663635315
67,0.0216464462933,0.0332941897952,0.0386886878849,0.501716836721,0.0675716494491,0.337082189856
68,0.0652958607443,0.0451546595158,0.127852337401,0.314751385466,0.148611640311,0.298334116561
69,0.0924226086689,0.0618038663672,0.181387098433,0.215277701818,0.235533242702,0.213575482011
70,0.0802929319165,0.0525998593831,0.141281391174,0.273906511424,0.176183258232,0.27573604787
71,0.0693164120529,0.0578093485585,0.146985320054,0.29522170791,0.195261051536,0.235406159888
72,0.0808804008545,0.064254623483,0.130959045311,0.299950012303,0.187329654446,0.236626263602
73,0.104619697177,0.0704401700445,0.213383933583,0.154735841182,0.305701470651,0.151118887363
74,0.0607845048578,0.0359599772417,0.155646894089,0.315155233164,0.210107360883,0.222346029764
75,0.182273534612,0.0983477127751,0.29304075496,0.106123583111,0.131106064756,0.189108349786
76,0.0755125039659,0.0633590461881,0.196086975281,0.172374776479,0.262329560565,0.23033713752
77,0.0819803888633,0.0501117036037,0.156075835215,0.268645011818,0.213182522979,0.230004537521
78,0.0291064721103,0.0177811318981,0.0543603147577,0.677613526515,0.0650478111366,0.156090743583
79,0.0947072793382,0.0563494439532,0.147832966602,0.257756515851,0.189177634718,0.254176159537
80,0.196568990441,0.0603264873237,0.225637367607,0.172785074633,0.173388480233,0.171293599762
81,0.150082021324,0.0348989264803,0.259006733213,0.176943231099,0.212481729368,0.166587358516
82,0.101538856196,0.0525030533197,0.16300047066,0.23473878452,0.229799543956,0.218419291349
83,0.0699793466642,0.049802143232,0.135345479927,0.322341204853,0.144616392763,0.277915432561
84,0.0939949899136,0.0529419661483,0.17233176665,0.226007517157,0.220361115213,0.234362644919
85,0.03669034141,0.0853798150594,0.389835323952,0.000143752048387,0.171170374737,0.316780392794
86,8.17420206714e-07,7.50607783104e-07,0.666695341387,2.48158309661e-06,1.73047114925e-06,0.333298878531
87,0.168855632606,0.0834254044144,0.271374963287,0.0503358855386,0.365856039742,0.0601520744118
88,0.0819860142803,0.0700536579293,0.117252345323,0.293480263792,0.138289188251,0.298938530424
89,0.00707150748139,0.00534023056802,0.0408455043189,0.611894278343,0.0719571564119,0.262891322877
90,0.0899145003006,0.050955297507,0.151356526428,0.266870885313,0.238454668931,0.20244812152
91,0.0781089982406,0.05044722013,0.130806440779,0.301457538227,0.185879487993,0.25330031463
92,0.197046679996,0.205293784395,0.250625184785,0.079197954621,0.214542467678,0.0532939285243
93,0.10337546217,0.0553486498398,0.161528938775,0.271149727837,0.177664716515,0.230932504864
94,0.10017668513,0.0995733415445,0.225261172075,0.148204025055,0.169441812837,0.257342963358
95,0.04469966946,0.0354828253709,0.322772112977,0.143522148875,0.287073946564,0.166449296753
96,0.0888092015522,0.0609971671185,0.138309056245,0.262976405566,0.211943441299,0.236964728219
97,0.0687213576635,0.0413427257928,0.113633667117,0.39085451416,0.133783297057,0.251664438209
